group,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44
Information_Visualization_skills,2,4,4,4,6,3,3,1,5,2,2,3,3,3,5,8,3,3,5,5,6,7,1,1,3,2,2,1,1,1,5,2,2,2,3,2,3,3,3,1,2,4,3,5
Statistical_skills,3,4,4,5,8,3,6,3,6,6,4,3,2,4,8,9,4,3,7,7,6,4,1,4,6,3,4,3,3,4,3,3,3,1,3,6,3,1,3,5,4,4,4,3
Mathematics_skills,2,5,6,5,8,3,7,4,5,1,5,3,5,7,8,7,5,6,6,6,7,5,6,5,5,7,5,7,5,4,8,8,7,5,5,7,4,1,4,5,6,6,5,7
Artistic_skills,5,4,2,6,4,2,6,3,5,7,7,6,7,2,3,5,8,8,4,1,8,2,3,4,1,3,4,10,2,10,3,8,2,2,5,5,8,5,8,9,7,7,10,7
Computer_usage_skills,7,6,7,7,7,6,9,7,8,5,7,9,5,7,8,9,4,8,8,8,8,9,3,9,7,8,7,6,7,10,9,8,8,7,8,7,7,8,8,9,5,5,8,8
Programming_skills,5,7,5,7,7,2,5,5,6,2,3,5,4,6,5,7,7,5,9,7,6,8,6,3,6,8,5,1,4,2,8,7,6,4,6,5,8,4,5,6,4,5,2,8
Computer_graphics_programming skills,2,3,5,3,6,2,3,6,7,2,2,2,2,4,5,6,5,7,5,7,6,3,2,1,3,7,5,4,1,1,5,1,3,3,7,3,8,1,3,1,3,6,2,3
Hinteraction_programming_skills,5,2,5,7,6,3,4,3,5,2,3,3,2,3,6,5,3,6,6,7,5,4,1,2,5,3,3,2,1,4,4,5,4,3,4,5,5,4,3,3,4,6,3,5
User_experience_evaluation_skills,8,8,7,2,7,3,4,2,4,4,7,3,8,2,5,6,4,5,3,7,5,3,1,2,5,3,3,3,3,6,2,5,3,3,3,3,1,3,3,9,4,8,8,6
Communication skills,9,10,10,8,6,9,9,8,8,8,4,8,9,5,7,7,8,9,5,5,10,7,4,5,8,7,4,7,10,8,9,8,5,5,6,8,5,5,5,10,3,8,6,9
Collaboration_skills,6,10,9,8,8,8,10,8,6,7,5,8,8,5,7,6,7,9,7,7,9,6,4,7,7,8,5,8,8,10,5,7,6,5,6,8,5,7,6,10,3,9,4,9
Code_repository_skills,3,7,5,9,6,3,6,5,7,3,5,4,6,6,9,7,7,4,8,8,8,9,4,4,8,8,4,5,8,2,8,8,6,5,5,3,5,6,6,6,5,4,2,8
